Colony,Fragment,Treatment,Date,Time,F,Fm',Y(II),Buoyant
,KP 3,400,3/27/2017,4,0.1446,0.2799,0.483,
,DP 10,700,3/27/2017,4,0.1716,0.2676,0.359,
,DP 11,700,3/27/2017,4,0.1603,0.249,0.356,
,DP 7,700,3/27/2017,4,0.176,0.2569,0.315,
,EP 5,700,3/27/2017,4,0.173,0.2485,0.304,
,EP 7,700,3/27/2017,4,0.1431,0.2216,0.354,
,EP 6,700,3/27/2017,4,0.1343,0.1902,0.294,
,HP 6,700,3/27/2017,4,0.1593,0.2902,0.451,
,HP 11,700,3/27/2017,4,0.1475,0.2549,0.421,
,HP 2,700,3/27/2017,4,0.1559,0.2672,0.417,
,IP 3,700,3/27/2017,4,0.1338,0.2574,0.48,
,IP 4,700,3/27/2017,4,0.1029,0.199,0.483,
,IP 9,700,3/27/2017,4,0.1245,0.2275,0.453,
,JP 12,700,3/27/2017,4,0.1392,0.2422,0.425,
,JP 3,700,3/27/2017,4,0.1637,0.298,0.451,
,JP 10,700,3/27/2017,4,0.1441,0.2525,0.429,
,KP 1,700,3/27/2017,4,0.1824,0.3284,0.445,
,KP 11,700,3/27/2017,4,0.1662,0.2868,0.421,
,KP 4,700,3/27/2017,4,0.1353,0.2441,0.446,
,DP 1,1000,3/27/2017,4,0.1544,0.2328,0.337,
,DP 8,1000,3/27/2017,4,0.1691,0.2294,0.263,
,DP 5,1000,3/27/2017,4,0.177,0.2799,0.368,
,EP 1,1000,3/27/2017,4,0.1279,0.1912,0.331,
,EP 8,1000,3/27/2017,4,0.1544,0.2319,0.334,
,EP 9,1000,3/27/2017,4,0.1583,0.2123,0.254,
,HP 8,1000,3/27/2017,4,0.1471,0.25,0.412,
,HP 7,1000,3/27/2017,4,0.1387,0.2373,0.415,
,HP 12,1000,3/27/2017,4,0.1456,0.2426,0.4,
,IP 8,1000,3/27/2017,4,0.1833,0.3564,0.486,
,IP 11,1000,3/27/2017,4,0.1525,0.3044,0.499,
,IP 1,1000,3/27/2017,4,0.1799,0.348,0.483,
,JP 11,1000,3/27/2017,4,0.148,0.2603,0.431,
,JP 8,1000,3/27/2017,4,0.173,0.2877,0.399,
,JP 5,1000,3/27/2017,4,0.1833,0.3206,0.428,
,KP 12,1000,3/27/2017,4,0.1922,0.2971,0.353,
,KP 9,1000,3/27/2017,4,0.1314,0.227,0.421,
,KP 6,1000,3/27/2017,4,0.1794,0.3363,0.466,
DP ,DP 12,100,3/6/2017,3,0.1779,0.2681,0.336,
DP ,DP 4,100,3/6/2017,3,0.1392,0.2191,0.365,
DP ,DP 2,100,3/6/2017,3,0.1574,0.252,0.375,
EP ,EP 12,100,3/6/2017,3,0.177,0.2706,0.346,
EP ,EP 2,100,3/6/2017,3,0.1314,0.2103,0.375,
EP ,EP 4,100,3/6/2017,3,0.1441,0.2328,0.381,
HP ,HP 3,100,3/6/2017,3,0.1745,0.3382,0.484,
HP ,HP 1,100,3/6/2017,3,0.1569,0.2887,0.457,
HP ,HP 10,100,3/6/2017,3,0.1789,0.3206,0.442,
IP ,IP 13,100,3/6/2017,3,0.1642,0.2873,0.428,
IP ,IP 6,100,3/6/2017,3,0.1392,0.2422,0.425,
IP ,IP 2,100,3/6/2017,3,0.152,0.2627,0.422,
JP ,JP 7,100,3/6/2017,3,0.1676,0.2799,0.401,
JP ,JP 1,100,3/6/2017,3,0.1373,0.2314,0.407,
JP ,JP 6,100,3/6/2017,3,0.1583,0.2676,0.408,
KP ,KP 5,100,3/6/2017,3,0.1809,0.3152,0.426,
KP ,KP 2,100,3/6/2017,3,0.1515,0.2799,0.459,
KP ,KP 10,100,3/6/2017,3,0.1799,0.3103,0.42,
DP ,DP 6,400,3/6/2017,3,0.1549,0.2314,0.331,
DP ,DP 3,400,3/6/2017,3,0.1804,0.2681,0.327,
DP ,DP 9,400,3/6/2017,3,0.1667,0.2382,0.3,
EP ,EP 10,400,3/6/2017,3,0.1324,0.2,0.338,
EP ,EP 3,400,3/6/2017,3,0.1515,0.2176,0.304,
EP ,EP 11,400,3/6/2017,3,0.1426,0.2216,0.356,
HP ,HP 4,400,3/6/2017,3,0.1711,0.3034,0.436,
HP ,HP 9,400,3/6/2017,3,0.1539,0.2534,0.393,
HP ,HP 5,400,3/6/2017,3,0.174,0.3093,0.437,
IP ,IP 7,400,3/6/2017,3,0.1054,0.198,0.468,
IP ,IP 10,400,3/6/2017,3,0.1431,0.2799,0.489,
IP ,IP 5,400,3/6/2017,3,0.1725,0.3265,0.471,
JP ,JP 2,400,3/6/2017,3,0.1784,0.2833,0.37,
JP ,JP 9,400,3/6/2017,3,0.1373,0.225,0.39,
JP ,JP 4,400,3/6/2017,3,0.1569,0.2696,0.418,
